,User ID,Trump,Biden,Democratic,Republican,Label
247,759115939879223296,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
248,784830241277669376,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
249,1226578793839525888,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
250,229698514,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
251,1149569538201022466,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
252,862387886175531009,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
253,1247114452031373312,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
254,3020163409,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
255,818655054337114113,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
256,922276111567945728,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
257,24770122,Dislike,Swing,Non-mentioned,Swing,Counterhate
258,792810774,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
259,2956352442,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
260,1880083141,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
261,24438563,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
262,431621910,Dislike,Dislike,Non-mentioned,Like,Counterhate
263,50208148,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
264,466764009,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
265,22512172,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
266,1242000027159060480,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
267,1173913688581058560,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
268,827650815418589184,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
269,19169583,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
270,1205935723704176641,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
271,872637949451657216,Dislike,Non-mentioned,Dislike,Dislike,Counterhate
272,856169234019348480,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
273,861899529712394241,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
274,946875499317420032,Dislike,Non-mentioned,Like,Non-mentioned,Counterhate
275,2564235067,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
276,2683484586,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
277,1231870442534658048,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
278,996458204,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
279,494500690,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
280,2740556790,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
281,2334637724,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
282,18238409,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
283,2718945878,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
284,2165996872,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
285,1096309927965065216,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
286,1043789653483147264,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
287,1230546581767827456,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
288,855841877538390016,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
289,291488092,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
290,2984756114,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
291,1225142043187535881,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
292,854149834915426305,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
293,1402091496,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
294,915236775962058752,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
295,609227726,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
296,368589916,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
297,1088248789763272704,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
298,779370966111485952,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
299,982624203949125637,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
300,539163658,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
301,2433461320,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
302,242481589,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
303,189730276,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
304,1129881782,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
305,943281687361966081,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
306,817082219093225472,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
307,794908129,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
308,24340153,Dislike,Non-mentioned,Dislike,Non-mentioned,Counterhate
309,2401257907,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
310,2371372099,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
311,865747839888109571,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
312,279497221,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
313,27442314,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
314,24541145,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
315,982452257881915392,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
316,201365130,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
317,2845221997,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
318,709653590390870016,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
319,1185263854038769668,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
320,17461210,Dislike,Non-mentioned,Non-mentioned,Dislike,Counterhate
321,1011027250668605440,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
322,757756622387220481,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
323,963594159138406400,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
324,779004246410743808,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
325,4699720352,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
326,100403285,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
327,945155034,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
328,834185301027385344,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
329,1232290776891064320,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
330,38678108,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
331,818804069309489153,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
332,1087225211433426946,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
333,10424292,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
334,2647748323,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
335,2252887148,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
336,892755777932361730,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
