,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
160,9.55e+17,Louisiana,Orleans,Dislike,Swing,Non-mentioned,Swing,Red,Blue,Non-change,Non-change,Hate
161,9.97e+17,Kansas,Decatur,Dislike,Non-mentioned,Like,Non-mentioned,Red,Red,Non-change,Non-change,Hate
162,468879511.0,Nevada,Washoe,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
163,3817853776.0,Illinois,Saint Clair,Non-mentioned,Non-mentioned,Like,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
164,497927427.0,Oregon,Coos,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
165,8.64e+17,New York,Madison,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
166,713660355.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
167,577266363.0,Tennessee,Hamilton,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
168,395118274.0,Illinois,Logan,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
169,8.94e+17,New York,Westchester,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
170,832746373.0,Texas,Bexar,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
171,3381701849.0,Minnesota,Morrison,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
172,207979181.0,Texas,Dallas,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
173,7.1e+17,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
174,941083345.0,New York,Madison,Dislike,Like,Like,Like,Blue,Red,Non-change,Non-change,Hate
175,4039664525.0,Texas,Fort Bend,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
176,4044892094.0,Maine,Hancock,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
177,1695162631.0,Washington,King,Dislike,Like,Like,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
178,1.15e+18,Oregon,Multnomah,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
179,2970226384.0,California,San Diego,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
180,1.15e+18,Texas,Coleman,Dislike,Dislike,Dislike,Non-mentioned,Red,Red,Non-change,Non-change,Hate
